delineation,cbsa_code,bulletin,cbsa_title,cbsa_type,csa_code,csa_title,n_counties,n_metdivs,states,valid_from,valid_to
2015,17620,15-01,"Coamo, PR",micropolitan,434,"Ponce-Coamo-Santa Isabel, PR",1,0,72,2015-07-15,2017-08-15
2015,17640,15-01,"Coco, PR",micropolitan,490,"San Juan-Carolina, PR",1,0,72,2015-07-15,2017-08-15
2015,17660,15-01,"Coeur d'Alene, ID",metropolitan,518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",1,0,16,2015-07-15,2017-08-15
2015,17700,15-01,"Coffeyville, KS",micropolitan,,,1,0,20,2015-07-15,2017-08-15
2015,17740,15-01,"Coldwater, MI",micropolitan,,,1,0,26,2015-07-15,2017-08-15
2015,17780,15-01,"College Station-Bryan, TX",metropolitan,,,3,0,48,2015-07-15,2017-08-15
2015,17820,15-01,"Colorado Springs, CO",metropolitan,,,2,0,08,2015-07-15,2017-08-15
2015,17860,15-01,"Columbia, MO",metropolitan,190,"Columbia-Moberly-Mexico, MO",1,0,29,2015-07-15,2017-08-15
2015,17900,15-01,"Columbia, SC",metropolitan,192,"Columbia-Orangeburg-Newberry, SC",6,0,45,2015-07-15,2017-08-15
2015,17980,15-01,"Columbus, GA-AL",metropolitan,194,"Columbus-Auburn-Opelika, GA-AL",5,0,"01,13",2015-07-15,2017-08-15
2015,18020,15-01,"Columbus, IN",metropolitan,294,"Indianapolis-Carmel-Muncie, IN",1,0,18,2015-07-15,2017-08-15
2015,18060,15-01,"Columbus, MS",micropolitan,200,"Columbus-West Point, MS",1,0,28,2015-07-15,2017-08-15
2015,18100,15-01,"Columbus, NE",micropolitan,,,1,0,31,2015-07-15,2017-08-15
2015,18140,15-01,"Columbus, OH",metropolitan,198,"Columbus-Marion-Zanesville, OH",10,0,39,2015-07-15,2017-08-15
2015,18180,15-01,"Concord, NH",micropolitan,148,"Boston-Worcester-Providence, MA-RI-NH-CT",1,0,33,2015-07-15,2017-08-15
