code,level,title,parent_code
51-8093,detailed,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8090
51-8099,detailed,"Plant and System Operators, All Other",51-8090
51-9000,minor,Other Production Occupations,51-0000
51-9010,broad,"Chemical Processing Machine Setters, Operators, and Tenders",51-9000
51-9011,detailed,Chemical Equipment Operators and Tenders,51-9010
51-9012,detailed,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9010
51-9020,broad,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",51-9000
51-9021,detailed,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9020
51-9022,detailed,"Grinding and Polishing Workers, Hand",51-9020
51-9023,detailed,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9020
51-9030,broad,Cutting Workers,51-9000
51-9031,detailed,"Cutters and Trimmers, Hand",51-9030
51-9032,detailed,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9030
51-9040,broad,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9000
51-9041,detailed,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9040
51-9050,broad,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9000
51-9051,detailed,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9050
51-9060,broad,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9000
51-9061,detailed,"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9060
51-9070,broad,Jewelers and Precious Stone and Metal Workers,51-9000
51-9071,detailed,Jewelers and Precious Stone and Metal Workers,51-9070
51-9080,broad,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians,51-9000
51-9081,detailed,Dental Laboratory Technicians,51-9080
51-9082,detailed,Medical Appliance Technicians,51-9080
51-9083,detailed,Ophthalmic Laboratory Technicians,51-9080
51-9110,broad,Packaging and Filling Machine Operators and Tenders,51-9000
51-9111,detailed,Packaging and Filling Machine Operators and Tenders,51-9110
51-9120,broad,Painting Workers,51-9000
51-9123,detailed,"Painting, Coating, and Decorating Workers",51-9120
51-9124,detailed,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9120
51-9140,broad,Semiconductor Processing Technicians,51-9000
51-9141,detailed,Semiconductor Processing Technicians,51-9140
51-9150,broad,Photographic Process Workers and Processing Machine Operators,51-9000
51-9151,detailed,Photographic Process Workers and Processing Machine Operators,51-9150
51-9160,broad,Computer Numerically Controlled Tool Operators and Programmers,51-9000
51-9161,detailed,Computer Numerically Controlled Tool Operators,51-9160
51-9162,detailed,Computer Numerically Controlled Tool Programmers,51-9160
51-9190,broad,Miscellaneous Production Workers,51-9000
51-9191,detailed,Adhesive Bonding Machine Operators and Tenders,51-9190
51-9192,detailed,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9190
51-9193,detailed,Cooling and Freezing Equipment Operators and Tenders,51-9190
51-9194,detailed,Etchers and Engravers,51-9190
51-9195,detailed,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9190
51-9196,detailed,"Paper Goods Machine Setters, Operators, and Tenders",51-9190
51-9197,detailed,Tire Builders,51-9190
51-9198,detailed,Helpers--Production Workers,51-9190
51-9199,detailed,"Production Workers, All Other",51-9190
53-0000,major,Transportation and Material Moving Occupations,
53-1000,minor,Supervisors of Transportation and Material Moving Workers,53-0000
53-1040,broad,First-Line Supervisors of Transportation and Material Moving Workers,53-1000
53-1041,detailed,Aircraft Cargo Handling Supervisors,53-1040
53-1042,detailed,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53-1040
53-1043,detailed,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,53-1040
