code,level,title,parent_code
17-3019,detailed,"Drafters, All Other",17-3010
17-3020,broad,"Engineering Technologists and Technicians, Except Drafters",17-3000
17-3021,detailed,Aerospace Engineering and Operations Technologists and Technicians,17-3020
17-3022,detailed,Civil Engineering Technologists and Technicians,17-3020
17-3023,detailed,Electrical and Electronic Engineering Technologists and Technicians,17-3020
17-3024,detailed,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3020
17-3025,detailed,Environmental Engineering Technologists and Technicians,17-3020
17-3026,detailed,Industrial Engineering Technologists and Technicians,17-3020
17-3027,detailed,Mechanical Engineering Technologists and Technicians,17-3020
17-3028,detailed,Calibration Technologists and Technicians,17-3020
17-3029,detailed,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3020
17-3030,broad,Surveying and Mapping Technicians,17-3000
17-3031,detailed,Surveying and Mapping Technicians,17-3030
19-0000,major,"Life, Physical, and Social Science Occupations",
19-1000,minor,Life Scientists,19-0000
19-1010,broad,Agricultural and Food Scientists,19-1000
19-1011,detailed,Animal Scientists,19-1010
19-1012,detailed,Food Scientists and Technologists,19-1010
19-1013,detailed,Soil and Plant Scientists,19-1010
19-1020,broad,Biological Scientists,19-1000
19-1021,detailed,Biochemists and Biophysicists,19-1020
19-1022,detailed,Microbiologists,19-1020
19-1023,detailed,Zoologists and Wildlife Biologists,19-1020
19-1029,detailed,"Biological Scientists, All Other",19-1020
19-1030,broad,Conservation Scientists and Foresters,19-1000
19-1031,detailed,Conservation Scientists,19-1030
19-1032,detailed,Foresters,19-1030
19-1040,broad,Medical Scientists,19-1000
19-1041,detailed,Epidemiologists,19-1040
19-1042,detailed,"Medical Scientists, Except Epidemiologists",19-1040
19-1090,broad,Miscellaneous Life Scientists,19-1000
19-1099,detailed,"Life Scientists, All Other",19-1090
19-2000,minor,Physical Scientists,19-0000
19-2010,broad,Astronomers and Physicists,19-2000
19-2011,detailed,Astronomers,19-2010
19-2012,detailed,Physicists,19-2010
19-2020,broad,Atmospheric and Space Scientists,19-2000
19-2021,detailed,Atmospheric and Space Scientists,19-2020
19-2030,broad,Chemists and Materials Scientists,19-2000
19-2031,detailed,Chemists,19-2030
19-2032,detailed,Materials Scientists,19-2030
19-2040,broad,Environmental Scientists and Geoscientists,19-2000
19-2041,detailed,"Environmental Scientists and Specialists, Including Health",19-2040
19-2042,detailed,"Geoscientists, Except Hydrologists and Geographers",19-2040
19-2043,detailed,Hydrologists,19-2040
19-2090,broad,Miscellaneous Physical Scientists,19-2000
19-2099,detailed,"Physical Scientists, All Other",19-2090
19-3000,minor,Social Scientists and Related Workers,19-0000
19-3010,broad,Economists,19-3000
19-3011,detailed,Economists,19-3010
19-3020,broad,Survey Researchers,19-3000
19-3022,detailed,Survey Researchers,19-3020
19-3030,broad,Psychologists,19-3000
19-3032,detailed,Industrial-Organizational Psychologists,19-3030
19-3033,detailed,Clinical and Counseling Psychologists,19-3030
19-3034,detailed,School Psychologists,19-3030
19-3039,detailed,"Psychologists, All Other",19-3030
19-3040,broad,Sociologists,19-3000
19-3041,detailed,Sociologists,19-3040
19-3050,broad,Urban and Regional Planners,19-3000
19-3051,detailed,Urban and Regional Planners,19-3050
19-3090,broad,Miscellaneous Social Scientists and Related Workers,19-3000
19-3091,detailed,Anthropologists and Archeologists,19-3090
19-3092,detailed,Geographers,19-3090
19-3093,detailed,Historians,19-3090
19-3094,detailed,Political Scientists,19-3090
19-3099,detailed,"Social Scientists and Related Workers, All Other",19-3090
19-4000,minor,"Life, Physical, and Social Science Technicians",19-0000
19-4010,broad,Agricultural and Food Science Technicians,19-4000
19-4012,detailed,Agricultural Technicians,19-4010
19-4013,detailed,Food Science Technicians,19-4010
19-4020,broad,Biological Technicians,19-4000
19-4021,detailed,Biological Technicians,19-4020
19-4030,broad,Chemical Technicians,19-4000
19-4031,detailed,Chemical Technicians,19-4030
19-4040,broad,Environmental Science and Geoscience Technicians,19-4000
19-4042,detailed,"Environmental Science and Protection Technicians, Including Health",19-4040
19-4043,detailed,"Geological Technicians, Except Hydrologic Technicians",19-4040
19-4044,detailed,Hydrologic Technicians,19-4040
19-4050,broad,Nuclear Technicians,19-4000
19-4051,detailed,Nuclear Technicians,19-4050
19-4060,broad,Social Science Research Assistants,19-4000
19-4061,detailed,Social Science Research Assistants,19-4060
19-4070,broad,Forest and Conservation Technicians,19-4000
19-4071,detailed,Forest and Conservation Technicians,19-4070
19-4090,broad,"Miscellaneous Life, Physical, and Social Science Technicians",19-4000
19-4092,detailed,Forensic Science Technicians,19-4090
19-4099,detailed,"Life, Physical, and Social Science Technicians, All Other",19-4090
19-5000,minor,Occupational Health and Safety Specialists and Technicians,19-0000
19-5010,broad,Occupational Health and Safety Specialists and Technicians,19-5000
19-5011,detailed,Occupational Health and Safety Specialists,19-5010
19-5012,detailed,Occupational Health and Safety Technicians,19-5010
21-0000,major,Community and Social Service Occupations,
21-1000,minor,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-0000
21-1010,broad,Counselors,21-1000
21-1011,detailed,Substance Abuse and Behavioral Disorder Counselors,21-1010
21-1012,detailed,"Educational, Guidance, and Career Counselors and Advisors",21-1010
21-1013,detailed,Marriage and Family Therapists,21-1010
21-1014,detailed,Mental Health Counselors,21-1010
21-1015,detailed,Rehabilitation Counselors,21-1010
21-1019,detailed,"Counselors, All Other",21-1010
21-1020,broad,Social Workers,21-1000
21-1021,detailed,"Child, Family, and School Social Workers",21-1020
21-1022,detailed,Healthcare Social Workers,21-1020
21-1023,detailed,Mental Health and Substance Abuse Social Workers,21-1020
21-1029,detailed,"Social Workers, All Other",21-1020
21-1090,broad,Miscellaneous Community and Social Service Specialists,21-1000
21-1091,detailed,Health Education Specialists,21-1090
21-1092,detailed,Probation Officers and Correctional Treatment Specialists,21-1090
21-1093,detailed,Social and Human Service Assistants,21-1090
21-1094,detailed,Community Health Workers,21-1090
21-1099,detailed,"Community and Social Service Specialists, All Other",21-1090
21-2000,minor,Religious Workers,21-0000
21-2010,broad,Clergy,21-2000
21-2011,detailed,Clergy,21-2010
21-2020,broad,"Directors, Religious Activities and Education",21-2000
21-2021,detailed,"Directors, Religious Activities and Education",21-2020
21-2090,broad,Miscellaneous Religious Workers,21-2000
21-2099,detailed,"Religious Workers, All Other",21-2090
23-0000,major,Legal Occupations,
23-1000,minor,"Lawyers, Judges, and Related Workers",23-0000
23-1010,broad,Lawyers and Judicial Law Clerks,23-1000
23-1011,detailed,Lawyers,23-1010
23-1012,detailed,Judicial Law Clerks,23-1010
23-1020,broad,"Judges, Magistrates, and Other Judicial Workers",23-1000
23-1021,detailed,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1020
23-1022,detailed,"Arbitrators, Mediators, and Conciliators",23-1020
23-1023,detailed,"Judges, Magistrate Judges, and Magistrates",23-1020
23-2000,minor,Legal Support Workers,23-0000
23-2010,broad,Paralegals and Legal Assistants,23-2000
23-2011,detailed,Paralegals and Legal Assistants,23-2010
23-2090,broad,Miscellaneous Legal Support Workers,23-2000
23-2093,detailed,"Title Examiners, Abstractors, and Searchers",23-2090
23-2099,detailed,"Legal Support Workers, All Other",23-2090
25-0000,major,Educational Instruction and Library Occupations,
25-1000,minor,Postsecondary Teachers,25-0000
25-1010,broad,"Business Teachers, Postsecondary",25-1000
25-1011,detailed,"Business Teachers, Postsecondary",25-1010
25-1020,broad,"Math and Computer Science Teachers, Postsecondary",25-1000
25-1021,detailed,"Computer Science Teachers, Postsecondary",25-1020
25-1022,detailed,"Mathematical Science Teachers, Postsecondary",25-1020
25-1030,broad,"Engineering and Architecture Teachers, Postsecondary",25-1000
25-1031,detailed,"Architecture Teachers, Postsecondary",25-1030
25-1032,detailed,"Engineering Teachers, Postsecondary",25-1030
25-1040,broad,"Life Sciences Teachers, Postsecondary",25-1000
25-1041,detailed,"Agricultural Sciences Teachers, Postsecondary",25-1040
25-1042,detailed,"Biological Science Teachers, Postsecondary",25-1040
25-1043,detailed,"Forestry and Conservation Science Teachers, Postsecondary",25-1040
25-1050,broad,"Physical Sciences Teachers, Postsecondary",25-1000
25-1051,detailed,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1050
25-1052,detailed,"Chemistry Teachers, Postsecondary",25-1050
25-1053,detailed,"Environmental Science Teachers, Postsecondary",25-1050
25-1054,detailed,"Physics Teachers, Postsecondary",25-1050
25-1060,broad,"Social Sciences Teachers, Postsecondary",25-1000
25-1061,detailed,"Anthropology and Archeology Teachers, Postsecondary",25-1060
25-1062,detailed,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1060
25-1063,detailed,"Economics Teachers, Postsecondary",25-1060
25-1064,detailed,"Geography Teachers, Postsecondary",25-1060
25-1065,detailed,"Political Science Teachers, Postsecondary",25-1060
25-1066,detailed,"Psychology Teachers, Postsecondary",25-1060
25-1067,detailed,"Sociology Teachers, Postsecondary",25-1060
25-1069,detailed,"Social Sciences Teachers, Postsecondary, All Other",25-1060
25-1070,broad,"Health Teachers, Postsecondary",25-1000
25-1071,detailed,"Health Specialties Teachers, Postsecondary",25-1070
25-1072,detailed,"Nursing Instructors and Teachers, Postsecondary",25-1070
25-1080,broad,"Education and Library Science Teachers, Postsecondary",25-1000
25-1081,detailed,"Education Teachers, Postsecondary",25-1080
25-1082,detailed,"Library Science Teachers, Postsecondary",25-1080
25-1110,broad,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",25-1000
25-1111,detailed,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1110
25-1112,detailed,"Law Teachers, Postsecondary",25-1110
25-1113,detailed,"Social Work Teachers, Postsecondary",25-1110
25-1120,broad,"Arts, Communications, History, and Humanities Teachers, Postsecondary",25-1000
25-1121,detailed,"Art, Drama, and Music Teachers, Postsecondary",25-1120
25-1122,detailed,"Communications Teachers, Postsecondary",25-1120
25-1123,detailed,"English Language and Literature Teachers, Postsecondary",25-1120
25-1124,detailed,"Foreign Language and Literature Teachers, Postsecondary",25-1120
25-1125,detailed,"History Teachers, Postsecondary",25-1120
25-1126,detailed,"Philosophy and Religion Teachers, Postsecondary",25-1120
25-1190,broad,Miscellaneous Postsecondary Teachers,25-1000
25-1192,detailed,"Family and Consumer Sciences Teachers, Postsecondary",25-1190
25-1193,detailed,"Recreation and Fitness Studies Teachers, Postsecondary",25-1190
25-1194,detailed,"Career/Technical Education Teachers, Postsecondary",25-1190
25-1199,detailed,"Postsecondary Teachers, All Other",25-1190
25-2000,minor,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-0000
25-2010,broad,Preschool and Kindergarten Teachers,25-2000
25-2011,detailed,"Preschool Teachers, Except Special Education",25-2010
25-2012,detailed,"Kindergarten Teachers, Except Special Education",25-2010
25-2020,broad,Elementary and Middle School Teachers,25-2000
25-2021,detailed,"Elementary School Teachers, Except Special Education",25-2020
25-2022,detailed,"Middle School Teachers, Except Special and Career/Technical Education",25-2020
25-2023,detailed,"Career/Technical Education Teachers, Middle School",25-2020
25-2030,broad,Secondary School Teachers,25-2000
25-2031,detailed,"Secondary School Teachers, Except Special and Career/Technical Education",25-2030
25-2032,detailed,"Career/Technical Education Teachers, Secondary School",25-2030
25-2050,broad,Special Education Teachers,25-2000
25-2051,detailed,"Special Education Teachers, Preschool",25-2050
25-2055,detailed,"Special Education Teachers, Kindergarten",25-2050
25-2056,detailed,"Special Education Teachers, Elementary School",25-2050
25-2057,detailed,"Special Education Teachers, Middle School",25-2050
25-2058,detailed,"Special Education Teachers, Secondary School",25-2050
25-2059,detailed,"Special Education Teachers, All Other",25-2050
25-3000,minor,Other Teachers and Instructors,25-0000
25-3010,broad,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3000
25-3011,detailed,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",25-3010
25-3020,broad,Self-Enrichment Teachers,25-3000
25-3021,detailed,Self-Enrichment Teachers,25-3020
25-3030,broad,"Substitute Teachers, Short-Term",25-3000
25-3031,detailed,"Substitute Teachers, Short-Term",25-3030
25-3040,broad,Tutors,25-3000
25-3041,detailed,Tutors,25-3040
25-3090,broad,Miscellaneous Teachers and Instructors,25-3000
25-3099,detailed,"Teachers and Instructors, All Other",25-3090
25-4000,minor,"Librarians, Curators, and Archivists",25-0000
25-4010,broad,"Archivists, Curators, and Museum Technicians",25-4000
25-4011,detailed,Archivists,25-4010
25-4012,detailed,Curators,25-4010
25-4013,detailed,Museum Technicians and Conservators,25-4010
25-4020,broad,Librarians and Media Collections Specialists,25-4000
25-4022,detailed,Librarians and Media Collections Specialists,25-4020
25-4030,broad,Library Technicians,25-4000
25-4031,detailed,Library Technicians,25-4030
25-9000,minor,Other Educational Instruction and Library Occupations,25-0000
25-9020,broad,Farm and Home Management Educators,25-9000
25-9021,detailed,Farm and Home Management Educators,25-9020
25-9030,broad,Instructional Coordinators,25-9000
25-9031,detailed,Instructional Coordinators,25-9030
25-9040,broad,Teaching Assistants,25-9000
25-9042,detailed,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",25-9040
25-9043,detailed,"Teaching Assistants, Special Education",25-9040
25-9044,detailed,"Teaching Assistants, Postsecondary",25-9040
25-9049,detailed,"Teaching Assistants, All Other",25-9040
25-9090,broad,Miscellaneous Educational Instruction and Library Workers,25-9000
25-9099,detailed,"Educational Instruction and Library Workers, All Other",25-9090
27-0000,major,"Arts, Design, Entertainment, Sports, and Media Occupations",
27-1000,minor,Art and Design Workers,27-0000
27-1010,broad,Artists and Related Workers,27-1000
27-1011,detailed,Art Directors,27-1010
27-1012,detailed,Craft Artists,27-1010
27-1013,detailed,"Fine Artists, Including Painters, Sculptors, and Illustrators",27-1010
27-1014,detailed,Special Effects Artists and Animators,27-1010
27-1019,detailed,"Artists and Related Workers, All Other",27-1010
27-1020,broad,Designers,27-1000
27-1021,detailed,Commercial and Industrial Designers,27-1020
27-1022,detailed,Fashion Designers,27-1020
27-1023,detailed,Floral Designers,27-1020
27-1024,detailed,Graphic Designers,27-1020
27-1025,detailed,Interior Designers,27-1020
27-1026,detailed,Merchandise Displayers and Window Trimmers,27-1020
27-1027,detailed,Set and Exhibit Designers,27-1020
27-1029,detailed,"Designers, All Other",27-1020
27-2000,minor,"Entertainers and Performers, Sports and Related Workers",27-0000
27-2010,broad,"Actors, Producers, and Directors",27-2000
27-2011,detailed,Actors,27-2010
27-2012,detailed,Producers and Directors,27-2010
27-2020,broad,"Athletes, Coaches, Umpires, and Related Workers",27-2000
27-2021,detailed,Athletes and Sports Competitors,27-2020
27-2022,detailed,Coaches and Scouts,27-2020
27-2023,detailed,"Umpires, Referees, and Other Sports Officials",27-2020
27-2030,broad,Dancers and Choreographers,27-2000
27-2031,detailed,Dancers,27-2030
27-2032,detailed,Choreographers,27-2030
27-2040,broad,"Musicians, Singers, and Related Workers",27-2000
27-2041,detailed,Music Directors and Composers,27-2040
27-2042,detailed,Musicians and Singers,27-2040
27-2090,broad,"Miscellaneous Entertainers and Performers, Sports and Related Workers",27-2000
27-2091,detailed,"Disc Jockeys, Except Radio",27-2090
27-2099,detailed,"Entertainers and Performers, Sports and Related Workers, All Other",27-2090
27-3000,minor,Media and Communication Workers,27-0000
27-3010,broad,Broadcast Announcers and Radio Disc Jockeys,27-3000
27-3011,detailed,Broadcast Announcers and Radio Disc Jockeys,27-3010
27-3020,broad,"News Analysts, Reporters and Journalists",27-3000
27-3023,detailed,"News Analysts, Reporters, and Journalists",27-3020
27-3030,broad,Public Relations Specialists,27-3000
27-3031,detailed,Public Relations Specialists,27-3030
27-3040,broad,Writers and Editors,27-3000
27-3041,detailed,Editors,27-3040
27-3042,detailed,Technical Writers,27-3040
27-3043,detailed,Writers and Authors,27-3040
27-3090,broad,Miscellaneous Media and Communication Workers,27-3000
27-3091,detailed,Interpreters and Translators,27-3090
27-3092,detailed,Court Reporters and Simultaneous Captioners,27-3090
27-3099,detailed,"Media and Communication Workers, All Other",27-3090
27-4000,minor,Media and Communication Equipment Workers,27-0000
27-4010,broad,"Broadcast, Sound, and Lighting Technicians",27-4000
27-4011,detailed,Audio and Video Technicians,27-4010
27-4012,detailed,Broadcast Technicians,27-4010
27-4014,detailed,Sound Engineering Technicians,27-4010
27-4015,detailed,Lighting Technicians,27-4010
27-4020,broad,Photographers,27-4000
27-4021,detailed,Photographers,27-4020
27-4030,broad,"Television, Video, and Film Camera Operators and Editors",27-4000
27-4031,detailed,"Camera Operators, Television, Video, and Film",27-4030
27-4032,detailed,Film and Video Editors,27-4030
27-4090,broad,Miscellaneous Media and Communication Equipment Workers,27-4000
27-4099,detailed,"Media and Communication Equipment Workers, All Other",27-4090
29-0000,major,Healthcare Practitioners and Technical Occupations,
29-1000,minor,Healthcare Diagnosing or Treating Practitioners,29-0000
29-1010,broad,Chiropractors,29-1000
29-1011,detailed,Chiropractors,29-1010
29-1020,broad,Dentists,29-1000
29-1021,detailed,"Dentists, General",29-1020
29-1022,detailed,Oral and Maxillofacial Surgeons,29-1020
29-1023,detailed,Orthodontists,29-1020
29-1024,detailed,Prosthodontists,29-1020
29-1029,detailed,"Dentists, All Other Specialists",29-1020
29-1030,broad,Dietitians and Nutritionists,29-1000
29-1031,detailed,Dietitians and Nutritionists,29-1030
29-1040,broad,Optometrists,29-1000
29-1041,detailed,Optometrists,29-1040
29-1050,broad,Pharmacists,29-1000
29-1051,detailed,Pharmacists,29-1050
29-1070,broad,Physician Assistants,29-1000
29-1071,detailed,Physician Assistants,29-1070
29-1080,broad,Podiatrists,29-1000
29-1081,detailed,Podiatrists,29-1080
29-1120,broad,Therapists,29-1000
29-1122,detailed,Occupational Therapists,29-1120
29-1123,detailed,Physical Therapists,29-1120
29-1124,detailed,Radiation Therapists,29-1120
29-1125,detailed,Recreational Therapists,29-1120
29-1126,detailed,Respiratory Therapists,29-1120
29-1127,detailed,Speech-Language Pathologists,29-1120
29-1128,detailed,Exercise Physiologists,29-1120
29-1129,detailed,"Therapists, All Other",29-1120
29-1130,broad,Veterinarians,29-1000
29-1131,detailed,Veterinarians,29-1130
29-1140,broad,Registered Nurses,29-1000
29-1141,detailed,Registered Nurses,29-1140
29-1150,broad,Nurse Anesthetists,29-1000
29-1151,detailed,Nurse Anesthetists,29-1150
29-1160,broad,Nurse Midwives,29-1000
29-1161,detailed,Nurse Midwives,29-1160
29-1170,broad,Nurse Practitioners,29-1000
29-1171,detailed,Nurse Practitioners,29-1170
29-1180,broad,Audiologists,29-1000
29-1181,detailed,Audiologists,29-1180
29-1210,broad,Physicians,29-1000
29-1211,detailed,Anesthesiologists,29-1210
29-1212,detailed,Cardiologists,29-1210
29-1213,detailed,Dermatologists,29-1210
29-1214,detailed,Emergency Medicine Physicians,29-1210
29-1215,detailed,Family Medicine Physicians,29-1210
29-1216,detailed,General Internal Medicine Physicians,29-1210
29-1217,detailed,Neurologists,29-1210
29-1218,detailed,Obstetricians and Gynecologists,29-1210
29-1221,detailed,"Pediatricians, General",29-1210
29-1222,detailed,"Physicians, Pathologists",29-1210
29-1223,detailed,Psychiatrists,29-1210
29-1224,detailed,Radiologists,29-1210
29-1229,detailed,"Physicians, All Other",29-1210
29-1240,broad,Surgeons,29-1000
29-1241,detailed,"Ophthalmologists, Except Pediatric",29-1240
29-1242,detailed,"Orthopedic Surgeons, Except Pediatric",29-1240
29-1243,detailed,Pediatric Surgeons,29-1240
29-1249,detailed,"Surgeons, All Other",29-1240
29-1290,broad,Miscellaneous Healthcare Diagnosing or Treating Practitioners,29-1000
29-1291,detailed,Acupuncturists,29-1290
29-1292,detailed,Dental Hygienists,29-1290
29-1299,detailed,"Healthcare Diagnosing or Treating Practitioners, All Other",29-1290
29-2000,minor,Health Technologists and Technicians,29-0000
29-2010,broad,Clinical Laboratory Technologists and Technicians,29-2000
29-2011,detailed,Medical and Clinical Laboratory Technologists,29-2010
29-2012,detailed,Medical and Clinical Laboratory Technicians,29-2010
29-2030,broad,Diagnostic Related Technologists and Technicians,29-2000
29-2031,detailed,Cardiovascular Technologists and Technicians,29-2030
29-2032,detailed,Diagnostic Medical Sonographers,29-2030
29-2033,detailed,Nuclear Medicine Technologists,29-2030
29-2034,detailed,Radiologic Technologists and Technicians,29-2030
29-2035,detailed,Magnetic Resonance Imaging Technologists,29-2030
29-2036,detailed,Medical Dosimetrists,29-2030
29-2040,broad,Emergency Medical Technicians and Paramedics,29-2000
29-2042,detailed,Emergency Medical Technicians,29-2040
29-2043,detailed,Paramedics,29-2040
29-2050,broad,Health Practitioner Support Technologists and Technicians,29-2000
29-2051,detailed,Dietetic Technicians,29-2050
29-2052,detailed,Pharmacy Technicians,29-2050
29-2053,detailed,Psychiatric Technicians,29-2050
29-2055,detailed,Surgical Technologists,29-2050
29-2056,detailed,Veterinary Technologists and Technicians,29-2050
29-2057,detailed,Ophthalmic Medical Technicians,29-2050
29-2060,broad,Licensed Practical and Licensed Vocational Nurses,29-2000
29-2061,detailed,Licensed Practical and Licensed Vocational Nurses,29-2060
29-2070,broad,Medical Records Specialists,29-2000
29-2072,detailed,Medical Records Specialists,29-2070
29-2080,broad,"Opticians, Dispensing",29-2000
29-2081,detailed,"Opticians, Dispensing",29-2080
29-2090,broad,Miscellaneous Health Technologists and Technicians,29-2000
29-2091,detailed,Orthotists and Prosthetists,29-2090
29-2092,detailed,Hearing Aid Specialists,29-2090
29-2099,detailed,"Health Technologists and Technicians, All Other",29-2090
29-9000,minor,Other Healthcare Practitioners and Technical Occupations,29-0000
29-9020,broad,Health Information Technologists and Medical Registrars,29-9000
29-9021,detailed,Health Information Technologists and Medical Registrars,29-9020
29-9090,broad,Miscellaneous Health Practitioners and Technical Workers,29-9000
29-9091,detailed,Athletic Trainers,29-9090
29-9092,detailed,Genetic Counselors,29-9090
29-9093,detailed,Surgical Assistants,29-9090
29-9099,detailed,"Healthcare Practitioners and Technical Workers, All Other",29-9090
31-0000,major,Healthcare Support Occupations,
31-1100,minor,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",31-0000
31-1120,broad,Home Health and Personal Care Aides,31-1100
31-1121,detailed,Home Health Aides,31-1120
31-1122,detailed,Personal Care Aides,31-1120
31-1130,broad,"Nursing Assistants, Orderlies, and Psychiatric Aides",31-1100
31-1131,detailed,Nursing Assistants,31-1130
31-1132,detailed,Orderlies,31-1130
31-1133,detailed,Psychiatric Aides,31-1130
31-2000,minor,Occupational Therapy and Physical Therapist Assistants and Aides,31-0000
31-2010,broad,Occupational Therapy Assistants and Aides,31-2000
31-2011,detailed,Occupational Therapy Assistants,31-2010
31-2012,detailed,Occupational Therapy Aides,31-2010
31-2020,broad,Physical Therapist Assistants and Aides,31-2000
31-2021,detailed,Physical Therapist Assistants,31-2020
31-2022,detailed,Physical Therapist Aides,31-2020
31-9000,minor,Other Healthcare Support Occupations,31-0000
31-9010,broad,Massage Therapists,31-9000
31-9011,detailed,Massage Therapists,31-9010
31-9090,broad,Miscellaneous Healthcare Support Occupations,31-9000
31-9091,detailed,Dental Assistants,31-9090
31-9092,detailed,Medical Assistants,31-9090
31-9093,detailed,Medical Equipment Preparers,31-9090
31-9094,detailed,Medical Transcriptionists,31-9090
31-9095,detailed,Pharmacy Aides,31-9090
31-9096,detailed,Veterinary Assistants and Laboratory Animal Caretakers,31-9090
31-9097,detailed,Phlebotomists,31-9090
31-9099,detailed,"Healthcare Support Workers, All Other",31-9090
33-0000,major,Protective Service Occupations,
33-1000,minor,Supervisors of Protective Service Workers,33-0000
33-1010,broad,First-Line Supervisors of Law Enforcement Workers,33-1000
33-1011,detailed,First-Line Supervisors of Correctional Officers,33-1010
33-1012,detailed,First-Line Supervisors of Police and Detectives,33-1010
33-1020,broad,First-Line Supervisors of Firefighting and Prevention Workers,33-1000
33-1021,detailed,First-Line Supervisors of Firefighting and Prevention Workers,33-1020
33-1090,broad,"Miscellaneous First-Line Supervisors, Protective Service Workers",33-1000
33-1091,detailed,First-Line Supervisors of Security Workers,33-1090
33-1099,detailed,"First-Line Supervisors of Protective Service Workers, All Other",33-1090
33-2000,minor,Firefighting and Prevention Workers,33-0000
33-2010,broad,Firefighters,33-2000
33-2011,detailed,Firefighters,33-2010
33-2020,broad,Fire Inspectors,33-2000
33-2021,detailed,Fire Inspectors and Investigators,33-2020
33-2022,detailed,Forest Fire Inspectors and Prevention Specialists,33-2020
33-3000,minor,Law Enforcement Workers,33-0000
33-3010,broad,"Bailiffs, Correctional Officers, and Jailers",33-3000
33-3011,detailed,Bailiffs,33-3010
33-3012,detailed,Correctional Officers and Jailers,33-3010
33-3020,broad,Detectives and Criminal Investigators,33-3000
33-3021,detailed,Detectives and Criminal Investigators,33-3020
33-3030,broad,Fish and Game Wardens,33-3000
33-3031,detailed,Fish and Game Wardens,33-3030
33-3040,broad,Parking Enforcement Workers,33-3000
33-3041,detailed,Parking Enforcement Workers,33-3040
33-3050,broad,Police Officers,33-3000
33-3051,detailed,Police and Sheriff’s Patrol Officers,33-3050
33-3052,detailed,Transit and Railroad Police,33-3050
33-9000,minor,Other Protective Service Workers,33-0000
33-9010,broad,Animal Control Workers,33-9000
33-9011,detailed,Animal Control Workers,33-9010
33-9020,broad,Private Detectives and Investigators,33-9000
33-9021,detailed,Private Detectives and Investigators,33-9020
33-9030,broad,Security Guards and Gambling Surveillance Officers,33-9000
33-9031,detailed,Gambling Surveillance Officers and Gambling Investigators,33-9030
33-9032,detailed,Security Guards,33-9030
33-9090,broad,Miscellaneous Protective Service Workers,33-9000
33-9091,detailed,Crossing Guards and Flaggers,33-9090
33-9092,detailed,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9090
33-9093,detailed,Transportation Security Screeners,33-9090
33-9094,detailed,School Bus Monitors,33-9090
33-9099,detailed,"Protective Service Workers, All Other",33-9090
35-0000,major,Food Preparation and Serving Related Occupations,
35-1000,minor,Supervisors of Food Preparation and Serving Workers,35-0000
35-1010,broad,Supervisors of Food Preparation and Serving Workers,35-1000
35-1011,detailed,Chefs and Head Cooks,35-1010
35-1012,detailed,First-Line Supervisors of Food Preparation and Serving Workers,35-1010
35-2000,minor,Cooks and Food Preparation Workers,35-0000
35-2010,broad,Cooks,35-2000
35-2011,detailed,"Cooks, Fast Food",35-2010
35-2012,detailed,"Cooks, Institution and Cafeteria",35-2010
35-2013,detailed,"Cooks, Private Household",35-2010
35-2014,detailed,"Cooks, Restaurant",35-2010
35-2015,detailed,"Cooks, Short Order",35-2010
35-2019,detailed,"Cooks, All Other",35-2010
35-2020,broad,Food Preparation Workers,35-2000
35-2021,detailed,Food Preparation Workers,35-2020
35-3000,minor,Food and Beverage Serving Workers,35-0000
35-3010,broad,Bartenders,35-3000
35-3011,detailed,Bartenders,35-3010
35-3020,broad,Fast Food and Counter Workers,35-3000
35-3023,detailed,Fast Food and Counter Workers,35-3020
35-3030,broad,Waiters and Waitresses,35-3000
35-3031,detailed,Waiters and Waitresses,35-3030
35-3040,broad,"Food Servers, Nonrestaurant",35-3000
35-3041,detailed,"Food Servers, Nonrestaurant",35-3040
35-9000,minor,Other Food Preparation and Serving Related Workers,35-0000
35-9010,broad,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9000
35-9011,detailed,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9010
35-9020,broad,Dishwashers,35-9000
35-9021,detailed,Dishwashers,35-9020
35-9030,broad,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9000
35-9031,detailed,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9030
35-9090,broad,Miscellaneous Food Preparation and Serving Related Workers,35-9000
35-9099,detailed,"Food Preparation and Serving Related Workers, All Other",35-9090
37-0000,major,Building and Grounds Cleaning and Maintenance Occupations,
37-1000,minor,Supervisors of Building and Grounds Cleaning and Maintenance Workers,37-0000
